,Address,catid,Description,Name,Website,Telephone,Category,catId,lat,lng
84,"Arthog, Gwynedd, Fairbourne, Gwynedd, LL39 1BX, Wales",Index-101321143402%252c,"Arthog Outdoor Education Centre is a residential outdoor education centre in the Snowdonia National Park, North Wales, UK. It is owned by Telford & Wrekin Council and has a national reputation for excellent provision of outdoor adventure activities and field studies. Although term-time use is primarily by Telford and Shropshire schools, our facilities and services are available to other client groups during weekends, halfterms and holiday times...Activities Include:Centre orienteering ,Mountain Biking, White Water Rafting, Mountain Walking , Rock Climbing, Mine Exploration, Kayaking , Open Canoeing, Wave Skiing, Orienteering, Initiative Tasks, The Ropes Course ,Adventure Activities",Arthog Outdoor Education Centre,http://www.arthog.co.uk,+44 01341 250455,Horse Riding,7,52.70763,-4.031431
85,"Llannerch Farm, Porthmadog, Gwynedd, LL49 9UR, Wales",Index-101321143411%252c,"A complete range of services we can offer you for  that special holiday or family day out. For more  serious riders we offer trekking holidays, you  can even bring your own horse (we will provide stable and livery) and stay on our 250 acre site, and enjoy the miles of off road trekking with stunning views that we have to offer. For those more mechanically minded we also offer Junior Quad biking on our own circuit, a Bunnyland where you can meet he pets here at the centre, together with the usual light refreshments.",Porthmadog Activity Centre,http://porthmadog-activity-centre.co.uk,+44 01766 512468,Motor Sports,8,52.9215434,-4.139638
86,"Eryri Leisure Cyf, Zone 6, Cibyn Industrial Estate, Caernarfon, Gwynedd, LL55 2BD, Wales",Index-101321143411%252c,Experience the heart-pumping thrill of indoor kart racing in this brand new state of the art centre. We offer many different options for arrive-and-drive racing as well as endurance and heats competitions. Call us to reserve your next race.Minimum age = 8Minimum height = 135cm,Redline Indoor Karting,http://www.redlineindoorkarting.co.uk,+44 01286 669515,Motor Sports,8,53.1404011,-4.2496952
87,"Gwynfryn Lodge, Llanystumdwy, Criccieth, Gwynedd, LL52 0LR, Wales",Index-101321143411%252c,"Come and enjoy the thrill and excitement of gliding on a Segway X2 at Dragon Raiders Activity Park. It's sleek, tough and provides you with a unique smooth driving experience like no other, designed to put a smile on your face!",Segway X2 Adventures,http://www.dragonraiders.co.uk,+44 01766 523119,Motor Sports,8,52.922877,-4.2791451
88,"Gelli Isaf, Rhyd Uchaf, Bala, Gwynedd, LL23 7SB, Wales",Index-101321173346%252c,"We offer a range of exciting outdoor activities and skills courses throughout North Wales, including guided mountain and hill walking, rock climbing and abseiling sessions, orienteering and wildlife walks. We also offer specialist mountain walking holidays, discovering the beauty of the wildest parts of Wales.Our enthusiastic and knowledgeable guides do much more than take you on a walk, and during your time with us you’ll find out about the wildlife, history and geology of the area too. Open your eyes to the beauty of Wales! Wild Walks Wales also run a range of skills courses for walkers and climbers. We are Mountain Training providers for the Hill and Mountain Skills Scheme, Lowland Leader Award, and Expedition Skills Module. We also run the full range of National Navigation Award Scheme courses at all levels and specialist workshops including Night Navigation' and 'Winter Walking Skills.We can tailor walks and courses to suit your requirements, needs and location – give us a call to discuss what you’d like to do.",Wild Walks Wales,http://www.wildwalkswales.co.uk,+44 01678 521871,Walking & Hiking,10,52.9210699,-3.6295195
89,"Bryn Gwyltt, Trefriw, Conwy, LL24 0AN, Wales",Index-101321173346%252c,"Maybe it's your first time in Wales? Want to see more than the usual tourist attractions on offer in North Wales?Only have a few days? Want to see hidden Snowdonia?Don't know the area? Need inside local knowledge?Then look no further than Wales' 'Snowdonia Safaris' tours in a 4 x 4 vehicle. You will be well looked after by a well travelled local guide who has extensive knowledge of Snowdonia and North Wales. Whether its castles, ancient chapels & neolithic tombs;Mountain passes, hidden lakes and forests; Old quarries, lost villages and historic sites; Snowdonia Safaris knows all the hidden gems in Snowdonia and has tours to suit your requirements.'Hidden Gems of Snowdonia'Tours include: - """"""""Passes to Peninsula"""""""" - """"""""Lost Quarries and Villages"""""""" - """"""""Tombs and Views'  - """"""""Bespoke tours"""""""" - tailor made to suit  your needs.All tours require a small amount of walking to get to the sites.Please bring suitable footwear and all -weather gear.Low level guided walks can be included in the tour if you wish. Half or whole day available. Snowdonia Safaris is based in Betws-y-Coed, North Wales, The Gateway to Snowdonia and is run by Bernard Owen who has extensive, local knowledge of the area and many years experience in tourism within North Wales.Snowdonia Safaris offer:A Personal service Tours available for 1 - 4 people maximum in a 4x4 vehicleGroups catered for - contact us for detailsFree pick ups and drop off's from holiday accommodation within 6 mile radius of Betws-y-Coed, The Gateway to Snowdonia.Also from Llandudno and other areas outside the National Park by arrangementTransfers can be arranged from local stations & North West AirportsEnglish, French and Welsh spoken.",Snowdonia Safaris,http://www.snowdoniasafaris.co.uk,+44 07511 749673,Walking & Hiking,10,53.0933728,-3.8100559
90,"1 Pant Y Carw, Nant Y Felin Rd, Llanfairfechan, Conwy, LL33 0SU, Wales",Index-101321173346%252c,"A range of hillwalking, mountaineering and climbing courses are run throughout the year to help you become self sufficient in the mountains and on the crags.",expeditionguide.com,http://www.expeditionguide.com,+44 01248 681357,Walking & Hiking,10,53.2481939,-3.9687222
91,"4 New Street, Deiniolen, Caernarfon, Gwynedd, LL55 3LH, Wales",Index-101321173346%252c,"Snowdonia Adventures is an established company who have been providing outdoor activities and skills courses to individuals and groups since 2000.We provide fun outdoor activities to individuals and groups. Our speciality is offering personally tailored skills courses for walkers,climbers and mountaineers.The company is owned and run by its directors Mark Handford and Shan Rees Roberts.",Snowdonia Adventures,http://www.snowdonia-adventures.co.uk,+44 01248 490188,Walking & Hiking,10,53.1466188,-4.1261702
92,"4 New Street, Deiniolen, Caernarfon, Gwynedd, LL55 3LH, Wales",Index-101321173346%252c,Snowdonia Navigation was formed in 2006 by Mark Handford and Shân Rees Roberts who run the successful adventure activity company Snowdonia Adventures.We wanted to provide essential skills for walkers and mountaineers to help reduce the accidents that happen every year in the mountains of North Wales and decided to provide a dedicated company to give the best possible learning experience for all levels of ability. We pride ourselves on being able to not only provide structured certificated and non certificated courses but also bespoke tailored courses to meet your needs.,Snowdonia Navigation,http://www.snowdonia-navigation.co.uk,+44 01286 879044,Walking & Hiking,10,53.1466188,-4.1261702
93,"Ty Hyll, Capel Curig, Conwy, LL24 0DS, Wales",Index-101321173346%252c,"Join us to help make it a reality! We undertake conservation and enhancement work in the National Park; monitor management and planning policies; make recommendations to the relevant bodies and undertake lobbying and campaigning work where appropriate; and promote access and enjoyment for all in Snowdonia.The Snowdonia Society would like to see a National Park in which the unique and irreplaceable qualities, on which the economy depends, are proudly protected by thriving and cohesive communities that have adapted to climate change.",Snowdonia Society - Cymdeithas Eryri,http://www.snowdonia-society.org.uk,+44 01690 720287,Walking & Hiking,10,53.1012253,-3.8691049
94,"9 Braichmelyn, Bethesda, Gwynedd, LL57 3RD, Wales",Index-101321173346%252c,"Ascents of Adventure is run by me, Andy Bruce. I run personalised hill walking, scrambling, rock climbing and navigation courses providing instruction and guided days out in the stunning mountains of the Snowdonia. When the weather is cold and gloomy in the UK I run rock climbing holiday courses to sunny Sardinia. Whatever your current level of skill or future aspirations, I will tailor-make a walking, scrambling or rock climbing experience to suit your needs.Maybe you have never climbed before and want a single day's taster of this fantastic sport. Maybe you already have some rock climbing experience and want a week's course on the classic rock routes of the Lake District to develop your skills further. Maybe you want to hone your navigation or scrambling skills so that you can take your outdoor adventures to the next level. Or maybe you want to give a weekend's guided walking in the Lake District to someone as a gift.I hold the Mountain Instructor Award, the highest summer rock climbing qualification in the UK, so you'll be in safe hands and I have been instructing for over 20 years. I am a member of the Association of Mountaineering Instructors.I don't believe in hidden costs, so if you need to borrow rock climbing shoes, harness or helmet on a scrambling or rock climbing course, there is no extra charge for this.",Ascents of Adventure,http://www.ascentsofadventure.co.uk,+44 015394 42593,Walking & Hiking,10,53.173163,-4.0547105
95,"Bryn-y-moel, Llanbedr, Gwynedd, LL45 2HU, Wales",Index-101321173346%252c,"The Ranch Outdoor Discovery Centre exists to offer young people opportunities for exciting residential experiences all year round in the heart of Snowdonia - with an emphasis on personal discovery, education, safety and fun!",The Ranch Outdoor Discovery Centre,http://www.actioncentres.co.uk,+44 01341 241358,Walking & Hiking,10,52.8303738,-4.0978627
96,"Bontddu, Barmouth, Gwynedd, LL42 1TH, Wales",Index-101321173346%252c,"Set in 18 acres of private, secluded woodlands within the Snowdonia National Park, overlooking the Mawddach Estuary, often described as one of the most beautiful in Britain.Teaching staff are fully qualified in canoeing, climbing, mountaineering and environmental sciences. Catering: Fully flexible, from home-cooked meals to special dietary needs. Equipment: Plas Caerdeon provides all specialist equipment and clothing. Other facilities include a purpose-built classroom with inter-active whiteboard and data projectors; teaching rooms, small library, computer suite and drying room. A fleet of minibuses provide daily transport for groups.",Plas Caerdeon Outdoor Education Centre,http://www.hope.ac.uk/caerdeon/,+44 01341 430276,Walking & Hiking,10,52.7443978,-4.0023763
97,"6 New Street, Aberdovey, Gwynedd, LL35 0EH, Wales",Index-101321173346%252c,"Activity centre providing a wide range of activities including Kayaking, canoeing, mountain biking, rock climbing and more. All activities are led by fully qualified instructors.",Adrenalin Antics,http://www.adrenalinantics.com,+44 01654 767655,Walking & Hiking,10,52.5444192,-4.0442873
98,"Plas Y Brenin, Capel Curig, Betws-y-coed, Conwy, LL24 0ET, Wales",Index-101321173346%252c,"Mountain Activity Centre run by the Mountain Training Trust. Plas Y Brenin offers a range of outdoor pursuit and activity courses for every level of expertise - hill walking, rock climbing, canoeing, kayaking, skiing, orienteering, mountain biking plus much, much more.",Plas Y Brenin - National Mountain Centre,http://www.pyb.co.uk,+44 01690 720214,Walking & Hiking,10,53.102264,-3.918315
99,"Clegy, Llanaelhaearn, Pwllheli, Gwynedd, LL54 5AD, Wales",Index-101321173346%252c,"We provide fun, challenging and rewarding activities around the Peninsula from our base on the outskirts of Abersoch. Activities like Coasteering, Canyoning, Climbing and Abseiling or Mountain and Coastal Walks.",Lleyn Adventure Activities,http://www.llynadventures.com,+44 07751 826714,Walking & Hiking,10,52.9814408,-4.4088261
100,"Llanuwchllyn, Y Bala, Bala, Gwynedd, LL23 7ST, Wales",Index-101321173346%252c,"Gwersyll yr Urdd Glan-llyn is a multi activity centre situated on the shores of Llyn Tegid, near Y Bala, a mile from the village of Llanuwchllyn in the shadow of the Aran and within Eryri, Snowdonia National Park. It is an ideal location for all types of holidays and activity courses.",Gwersyll yr Urdd Glan-Llyn,http://Urdd.org/glanllyn,+44 01678 541000,Walking & Hiking,10,52.8972141,-3.6088066
101,"Bryn Cadfan, Rhosgadfan, Caernarfon, Gwynedd, LL54 7HH, Wales",Index-101321173346%252c,"Guided mountain walking and scrambling. At Wild About Wales we offer day walks or more challenging treks, long weekends and full week guided walking holidays in Snowdonia, North Wales. Additionally we provide multi-activity sessions including rock climbing, abseiling, canoeing, coasteering and cater for stag and hen parties.",Wild About Wales,http://www.wild-about-wales.co.uk,+44 01286 831559,Walking & Hiking,10,53.0906454,-4.2267567
102,"Corris Uchaf, Machynlleth, Gwynedd, SY20 9RH, Wales",Index-101321173346%252c,"We provide high quality Outdoor Learning courses to Schools, Colleges and Youth groups. We also provide leadership training and development courses and MLTE training and assessment courses for teachers and youth leaders.",Ty'n y Berth Mountain Centre,http://www.widehorizons.org.uk,+44 01654 761678,Walking & Hiking,10,52.6627309,-3.8589203
103,"/1 Goronwy Street, Gerlan, Bethesda, Gwynedd, LL57 3TS, Wales",Index-101321173346%252c,"Sea 2 Summit offers a range of personalised courses for novices and experts alike in Rock Climbing, Kayaking, Mountain Walking & Coasteering. We provide private courses tailored to your needs or open courses on set dates. Bookings can be made by individuals or small groups; we also cater for school groups providing an education programme. Based in the heart of Snowdonia, North Wales, there is no better location, with easily accessible scrambles, world renowned cliff faces and beautiful scenery.",Sea 2 Summit,http://www.sea2summit.net,+44 01248 60130,Walking & Hiking,10,53.176414,-4.047675
104,"Clynnog Fawr, Caernarfon, Gwynedd, LL54 5NS, Wales",Index-101321173346%252c,"Rock Climbing - Instruction of basic climbing techniques on a suitable crag, this activity includes climbs of enjoyable height and difficulty while safety roped. After the climb abseiling down is always great fun! We also try to teach you something of the skills of rope work and the use of modern climbing equipment.Mountaineering Walks - Snowdonia's mountains are very rugged, full of character, and can be a source of adventure. Learn something of their wild side by reaching high into their summits with an experienced guide. You will be rewarded with spectacular scenery if the weather is clear, and if not there is always a taste of that ""Special atmosphere"".Mountain Scrambling - To reach famous summits by interesting and challenging routes must be the most satisfying of all mountain activities. Moving roped or un-roped over high and exposed rocky terrain really does build confidence and always proves very exciting! Among these come such classics as Crib Goch, or the North Ridge of Tryfan, and Bristly Ridge. Very famous, very hairy and very exciting. And yet quite within your grasp with us. Navigation Training & Orienteering - For the budding mountaineer or team leader this will prove invaluable. The absolute necessity of knowing where you are by day or nigh, cloud or whiteout, is a must! Learn to find your way around with serious mountain training, or make it educational fun with a leisurely orienteering course, Learn how to read a Map and use a Compass effectively, and we can even show you how to navigate by satellite.",Pathfinder Mountain Activities,http://www.pathfindersnowdonia.co.uk,+44 01286 66020,Walking & Hiking,10,53.0159135,-4.3626936
105,"Tan Yr Allt, Fachwen, Llanberis, Gwynedd, LL55 3HB, Wales",Index-101321173346%252c,"Climb-Mountains is a small independent company based in Snowdonia, North Wales that promises to provide high quality, inspirational and exciting guiding and instruction for rock climbing and mountaineering in some of the most dramatic landscapes in the British Isles. Whether you are a complete beginner looking to try something new, an experienced climber or mountaineer looking to acquire new skills or an outdoor enthusiast seeking assistance to achieve a long-held ambition we are happy to help. We have a deep passion for rock climbing and mountaineering and the challenge and reward that they offer and we aim to pass these experiences and opportunities on to you.",Climb-Mountains,http://www.climb-mountains.com,+44 01286 872684,Walking & Hiking,10,53.1338603,-4.1276238
106,"Arthog, Gwynedd, Fairbourne, Gwynedd, LL39 1BX, Wales",Index-101321173346%252c,No description available,Shropshire Outdoor Education,,+44 01341 250455,Walking & Hiking,10,52.70763,-4.031431
107,"Llwyngwril, Gwynedd, Barmouth, Gwynedd, LL37 2QB, Wales",Index-101321173346%252c,"Ty Gwyn Outdoor Centres offers a wide range of residential and non-residential outdoor activities courses for all. We operate a range of activities and include canoeing, sailing, kayaking, climbing, abseiling, sailing, raft building, mountain walking, orienteering and mountain biking.In addition, we are able to offer skills based courses in mountain navigation, expeditioning, rock climbing and the Single Pitch Award, OTC mountain bike courses, sailing kayaking and canoeing.During the holidays we have activity days on offer to come and try out a sport, or if a group would like to book in for a day of fun, this is also possible.If you wish to have a group residential course, then Ty Gwyn can comfortably accommodate 30. All food can be provided and is good quality and freshly cooked.",Canolfan Ty Gwyn,,,Walking & Hiking,10,52.662732,-4.0867612
108,"The Church Rooms, Llwyngwril, Llwyngwril, Gwynedd, LL37 2JQ, Wales",Index-101520163302%252c,"Llwyngwril Art Gallery is situated in the picturesque coastal village of Llwyngwril, Gwynedd in Snowdonia National Park.  The Gallery sells only Welsh Art and Crafts, of a high quality, and is complemented by the Tea Room, enabling a visit to be more of an outing and cultural experience - a wonderful, relaxing time, to take in all the Arts and Crafts, in a building full of character.  The building was originally a Church of England School, when it was built in the 1830s. It was more latterly used as a Church Hall, until it fell into disrepair, and the present owners, Debbie Ashton and Peter Jarrard bought it from the Church of Wales at the beginning of 2002.  All are welcome.","Llwyngwril Gallery, South Snowdonia, Gwynedd.",http://www.llwyngwril-gallery.co.uk,+44 01341 250054,Tours & Sightseeing,9,52.6729295,-4.0805468
109,"Snowdonia National Park Centre, Maentwrog, Blaenau Ffestiniog, Gwynedd, LL41 3YU, Wales",Index-101520163302%252c,"The Centre aims to provide courses which are of interest to all lovers of the countryside who would like to know about this fascinating area of Wales.Plas Tan y Bwlch occupies a superb position overlooking the valley of the river Dwyryd in the heart of the National Park. No part of the Park is more than an hour’s drive away and some of the most spectacular scenery in Britain is within easy reach. From the heights of Snowdon, Cadair Idris and the bleak moors of Migneint, the hills stretch down through secluded valleys with their wooded slopes and placid lakes down to the sea. Among them are many places of great botanical, geological and historical interest, and these are the raw materials of the courses which are organised for you at the Study Centre.",Plas Tan y Bwlch,http://www.plastanybwlch.com,+44 01766 772600,Tours & Sightseeing,9,52.9472875,-3.9996211
110,"Fron Deg, Rhosgadfan, Caernarfon, Gwynedd, LL54 7HR, Wales",Index-101520163302%252c,"014 marks WELSH DRAGON TOURS tenth season, and we find ourselves wondering where a decade has gone. We may look a little older, a little grey here and there, but happily, Caernarfon Castle (a new viewing platform at The Queen's Gate) and Snowdon (The new summit complex) have barely changed since we escorted our first clients around the most beautiful region, in the most beautiful country in the British Isles. It still gives us a slightly guilty kick to hear the ""oohs"" and ""aahs"" from visitors, having been convinced (lets face it, by consistently good marketing) that their origins lie firmly rooted in 'The Emerald Isle', even if their family names are Jones or Williams! Of course, many of our visitors have always known of their Welsh heritage, have done their research, and it is very rewarding, and touching, for us to help someone locate their ancestor's last resting place, a former family home, or even a relative who is still in the land of the living, and they may never have met..The natural scenery and terrain of Snowdonia and Anglesey provide some of the finest and most challenging outdoor activity in the World, and the sector should receive every support in continuing to meet the demand,  but not everyone comes with hiking boots and a mountain bike. More and more people from overseas, who are looking for an alternative to the large coach vacation, enjoy what we do for them. They want to travel at their own pace, in a small group, or simply with their family, and, often, visit places of personal importance that are not covered by our standard itineraries. If this is their agenda, we build an achievable, first class programme around their priorities, with the level of accommodation they want, from the homely and informal  Bed and Breakfast guesthouse to five star country houses, all of which are our partners in making our client's Welsh experience memorable for all the right reasons. From one to ten days, we have a tour for you.Check us out at www.welshdragontours.com , and please read the testimonials from some of the lovely people we have toured with over the years. To borrow a line from one of our motoring organizations, we may not be the biggest, but we are determined to be the best.",Welsh Dragon Tours,http://www.welshdragontours.com,+44 01286 831818,Tours & Sightseeing,9,53.0962359,-4.2459324
111,"Y Bwthyn, 6 Waen Wen, Bangor, Gwynedd, LL57 4UF, Wales",Index-101520163302%252c,"In addition to personalised, bespoke and chartered tours we also have our own tour programme with regular departure dates, please see our website for full information. These ‘Small Group’ tours include our “Village Life in Wales” a popular 8 day tour programme centred in either Snowdonia or the Llyn Peninsula and our “Land of my Fathers” tour which is a comprehensive 12 day tour of Wales.",Country Lane Tours,http://www.countrylanetours.com,+44 01248 35240,Tours & Sightseeing,9,53.2302217,-4.1211722
112,"Unit 2, Canolfan Dyfi, Aberdovey, Gwynedd, LL35 0EE, Wales",Index-101520093023%252c,"Join us to learn about local legends, heritage and wildlife in the beautiful scenery around the coast of Mid-Wales. Our 12 seater rigid inflatable boat is purpose-built and provides comfortable bench-type seating for all passengers. It will carry you safely round Cardigan Bay, affording you fantastic views of both the scenery and wildlife. Life-jackets provided and fitted for everyone on board. Please wear warm and waterproof clothing.",Dyfi Discoveries,http://www.dyfidiscoveries.co.uk,+44 01654 767676,Boat Hire & Boat Trips,11,52.5438608,-4.044866
113,"Hafan Pwllheli (marina), Glan Don, Pwllheli, Gwynedd, LL53 7RS, Wales",Index-101520093023%252c,Scenic coastal cruises from Pwllheli Marina visiting seal and seabird colonies. We are regularly joined by the resident dolphins who we monitor for marine scientific organisations. Bookings through Pwllheli Tourist Information Centre.,Shearwater Coastal Cruises,http://www.shearwatercruises.com,+44 01758 613000,Boat Hire & Boat Trips,11,52.8498863,-4.5128978
114,"Morgan James, 2 Charter Boat, Y Felinheli, Gwynedd, LL56 4YJ, Wales",Index-101520093023%252c,"Morgan James II is an 11 metre South Boat Catamaran purpose built for angling and powered by two 300hp Cummins engines capable of 26 knots and a comfortable cruising speed of 18 knots. She is fully equipped with all the latest electronics and safety gear and licensed for up to 60 miles day or night. On deck she is fitted out with 2 live bait tanks, insulated fish hold for the 2 - 5 day Isle of Man trips, bait cutting tables and easy access toilet.",Morgan James 2 Charter Boat,http://www.morganjames2.co.uk,,Boat Hire & Boat Trips,11,53.1833194,-4.2071605
115,"1 Prospect Place, South Woodford, Aberdyfi, Aberdovey, Gwynedd, LL35 0EY, Wales",Index-101520093023%252c,"What is the Venturers Cruise?The Venturers Cruise is an annual sailing holiday for young people. It was started over sixty years ago and is run by a Christian trust whose members are committed to the task of demonstrating the relevance of their faith to young people, within the beautiful but physically challenging environment of the Norfolk Broads.- We explore about sixty miles of the northern rivers and broads of Norfolk, from the wild exposure of Horsey Mere and Barton Broad to the quiet and picturesque villages of Horning and Irstead. - Each yacht is in the charge of an experienced and competent skipper who is assisted by a first mate. - The Venturers Cruise is licensed by the Adventure Activities Licensing Authority, and is a registered charity. - Each yacht has four or five crew members who sleep and eat aboard and learn the skills of handling yachts and lugsail dinghies under the careful supervision of their skippers. - Each evening the flotilla of up to eleven thirty-foot yachts, three motor cruisers and thirteen dinghies moors for dinner (cooked on board) and then everyone goes off to enjoy the nightly live entertainment (provided by you!) in a local village hall. The evening includes instruction on sailing basics and water safety. A live band and a relevant talk about Christianity are also included. - Many young people coming on the Venturers Cruise have felt their lives greatly influenced by the experience. All have become more self-reliant and many have found a faith upon which to build their adult lives.",Venturers Norfolk Broads Cruise,http://www.venturers.org.uk,+44 07850 031644,Boat Hire & Boat Trips,11,52.5440928,-4.0449653
116,"Bala Lake Foreshore, Bala, Gwynedd, LL23 7SR, Wales",Index-101322143514%252c,"We have some of the most qualified and experienced coaches in Britain, with all the latest equipment to make your time with us both enjoyable and unforgettable. Great people, great location, great kit.Come to us to develop your skills and qualifications, or use our facilities for the sheer fun of it. Try a half day taster course in any activity, or take a fully accredited training course. You can even mix and match activities. We specialise in small groups for the best coaching experience, whether you’re an absolute beginner or an expert seeking to extend yourself to the limit.Windsurfing - Windsurfing on Bala Lake is continually growing in popularity - our windsurfing courses allow you to use the newest equipment in a safe environment. The centre is a HYFLY demonstration centre so you will be able to use the equipment made available by HYFLY. Our instructors will give you the right level of tuition to get you on the board and to experience this great sport confidently. For those who have had a go before, we will be able to help you improve your existing skills and develop new ones. Our staff are always keen to give advice both on and off the water and are usually available for one-to-one coaching if required. Our equipment is available for hire to the more experienced sailor.Kayaking/Canoeing - Beginner or expert can enjoy the ideal location of Bala Watersports for an introduction to the sport on Bala Lake or experience the challenging rapids of the local world-class white-water course. Our resident coaches cover the entire spectrum of the British Canoe Association syllabus.Sailing - Sailing courses are run accourding to the royal yachting association guidlines. Bookings can be made over the phone or via our online booking facility.Branwen trips, why not explore the lake and use the steam train to get back to Bala or sail back.Rock Climbing/Abseiling - North Wales offers some of the best climbing in the country and you will be able to experience some of the spectacular locations. Under the close supervision of our instructors you can enjoy some great challenges and the personal achievement of getting to the top.",Bala Adventure & Watersports,http://www.balawatersports.com,+44 01678 521059,Canoeing & Kayaking,12,52.9087114,-3.6021991
117,"Y Glyn, Llanberis, Gwynedd, LL55 4EL, Wales",Index-101322143514%252c,"Surf-Lines provide canoeing, kayaking, climbing, coasteering, gorge scrambling, mountain walking, orienteering and team building. Our experienced instructors provide exciting 2hr, 1/2 day, full day and multi day activities. Looking to develop your paddle skills? Why not join us on one of our popular sea kayak, canoe or white water skills courses. We also have North Wales' premier canoe and kayak retail outlet packed full of the latest boats and kit. Boat demo's are availible.",Surf-Lines Adventures,http://www.surf-lines.co.uk,+44 01286 879001,Canoeing & Kayaking,12,53.1236031,-4.1298952
118,"Min-y-don, Arthog, Fairbourne, Gwynedd, LL39 1BZ, Wales",Index-101322143514%252c,"Superbly situated on the shores of the Mawddach Estuary and set against the spectacular backdrop of the Cadair Mountain Range, MIN-Y-DON provides a unique setting for family and youth group holidays.ACTIVITIES AVAILABLE ON SITE:*Kayaking *Canoeing *Rock Climbing *Abseiling *Aerial Runway *High and Low Ropes Courses *Archery *Orienteering *Problem Solving and Team Building Games *Treasure Hunts *Min-Y-Don 'Safari' - (Environmental and Beach Studies) *Crate Climbing *Bushcraft Many beautiful HILL WALKS are available throughout the adjacent countryside.",Min-y-Don Christian Adventure Centre,http://www.minydon.com,+44 01341 250433,Canoeing & Kayaking,12,52.7170975,-4.0152249
119,"Ynys Fechan Hall, Arthog, Dolgellau, Fairbourne, Gwynedd, LL39 1YT, Wales",Index-101322143514%252c,Activity Centre,Crisis Care - Ynys Fechan Hall,,+44 01341 250369,Canoeing & Kayaking,12,52.7142217,-4.0041028
120,"Clegy, Llanaelhaearn, Pwllheli, Gwynedd, LL54 5AD, Wales",Index-101322143514%252c,"We provide fun, challenging and rewarding activities around the Peninsula from our base on the outskirts of Abersoch. Activities like Coasteering, Canyoning, Climbing and Abseiling or Mountain and Coastal Walks.",Lleyn Adventure Activities,http://www.llynadventures.com,+44 07751 826714,Canoeing & Kayaking,12,52.9814408,-4.4088261
121,"Bryn Du Mountain Centre, Ty Du Road, Llanberis, Gwynedd, LL55 4HE, Wales",Index-101322143514%252c,"Boulder Adventures is based at the Bryn Du Mountain Centre and the Padarn Water Sports Centre in Llanberis, Snowdonia. The residential centre is a spacious Victorian house in its own gardens. The Water Sports Centre is located on the shores of Llyn Padarn accessed from the Welsh Slate Museum Car Park. We offer a variety of specialist courses and multi-activity trips, as well as courses tailored to your groups specific demands, placing particular emphasis on canoeing, kayaking, climbing, abseiling, gorge scrambling and walking. Courses can last from half a day to a week although the memories will be for longer.   Our experienced and fully trained staff ensure that your stay at Boulder Adventures is as safe and enjoyable as possible, allowing you to concentrate on the activities that brought you to the centre in the first place. For further details visit: www.boulderadventures.co.uk or www.adventuresinwales.co.uk",Boulder Adventures Ltd,,+44 01286 870556,Canoeing & Kayaking,12,53.1203488,-4.1293163
122,"Bryn-y-moel, Llanbedr, Gwynedd, LL45 2HU, Wales",Index-101322143514%252c,"The Ranch Outdoor Discovery Centre exists to offer young people opportunities for exciting residential experiences all year round in the heart of Snowdonia - with an emphasis on personal discovery, education, safety and fun!",The Ranch Outdoor Discovery Centre,http://www.actioncentres.co.uk,+44 01341 241358,Canoeing & Kayaking,12,52.8303738,-4.0978627
123,"Aberdyfi, Gwynedd, Aberdovey, Gwynedd, LL35 0RA, Wales",Index-101322143514%252c,"Multi activity courses for individuals of one, two and three weeks in length. Course members join groups of 10-12 people under the guidance of a group instructor to have a highly memorable adventure. Specifically designed courses, which meet current educational initiatives, and curriculum objectives. They include A level PE: Vocational A levels; Raising Achievement; Key Skills, and adventure and challenge.",Outward Bound Wales Aberdovey,http://www.outwardbound-uk.org,+44 01654 767464,Canoeing & Kayaking,12,52.5446305,-4.0518187
124,"Plas Y Brenin, Capel Curig, Betws-y-coed, Conwy, LL24 0ET, Wales",Index-101322143514%252c,"Mountain Activity Centre run by the Mountain Training Trust. Plas Y Brenin offers a range of outdoor pursuit and activity courses for every level of expertise - hill walking, rock climbing, canoeing, kayaking, skiing, orienteering, mountain biking plus much, much more.",Plas Y Brenin - National Mountain Centre,http://www.pyb.co.uk,+44 01690 720214,Canoeing & Kayaking,12,53.102264,-3.918315
125,"Beddgelert, Caernarfon, Gwynedd, LL55 4YF, Wales",Index-101322143514%252c,"Aberglaslyn Hall is Leciestershires Outdoor Learning Centre. We can offer a full range of outdoor activities such as canoeing, kayaking, abseiling, coasteering, gorge walking as well as activities like rafting, field studies and team exercises.   The hall can accommodate up to 42 students and 6 staff.  Courses are usually residential but can also be run on a day visit basis.   All equipment is provided and the hall has three mini buses to transport all students.   Aberglaslyn is both AALS approved and has the Quality Badge from the Learning Outside the Classroom.   It is staffed by three fully qualified members of staff and can call on equally qualified members of staff should numbers dictate.     Contact Tel 01766 890233  Email aberglaslyn@beaumanor.rmplc.co.uk",Aberglaslyn Hall Outdoor Education,,+44 01766 890233,Canoeing & Kayaking,12,52.9845655,-4.0970159
126,"Main Office, Beach Hut Area, Bennar Headland, Abersoch, Gwynedd, LL53 7DP, Wales",Index-101322143514%252c,"Watersports centre specialising in sailing, kayaking and rafting. Lessons available. Children and groups catered for. Boat hire also available including catamarans, speedboats, fun boats and canoes. March to November.",Abersoch Sailing School,http://www.abersochsailingschool.com,+44 01758 712963,Canoeing & Kayaking,12,52.8240737,-4.5000071
